target,feature,kind,pearson_r,p_pearson,spearman_r,p_spearman,n
rail_investment_pct_gdp,inflation_pct,level,0.3648562619998899,4.1069447034653145e-22,0.1482654747403793,0.0001595254056427047,642
rail_investment_pct_gdp,passenger_modal_split_rail_pct,level,0.24162783035152477,1.6093225734859573e-09,0.1557661348358862,0.00012125043459052899,602
rail_investment_pct_gdp,infant_mortality_rate,level,0.21658888691910105,2.3388868407197033e-08,-0.013339853522749924,0.7349505520481773,647
rail_investment_pct_gdp,poverty_risk_rate_pct,level,0.20752705216758338,0.06290779444468857,0.1030712282593385,0.360956122438231,81
rail_investment_pct_gdp,rail_wagons,level,0.19840579459027385,3.1697101701600682e-06,0.1848085200798664,1.4749495423076772e-05,540
rail_investment_pct_gdp,poverty_risk_rate_pct,delta,-0.18071757152610224,0.171504941740078,-0.20613486124240227,0.11758400045046209,59
rail_investment_pct_gdp,life_satisfaction_high_pct,delta,0.17903812926386548,0.1609352198738963,0.2388087301909078,0.05926483495611629,63
rail_investment_pct_gdp,cars_per_1000_inhabitants,level,-0.16326095011055416,2.7866604252222267e-05,-0.14615313087326204,0.00018082963664935278,650
rail_investment_pct_gdp,electricity_access_pct,level,-0.1563437266900053,9.630636704423879e-05,-0.063202636119272,0.11743437891493341,615
rail_investment_pct_gdp,life_expectancy_years,level,-0.15419392249343578,7.997843979154258e-05,-0.21934045543098651,1.52995742063424e-08,647
rail_investment_pct_gdp,gov_revenue_pct_gdp,level,-0.1411099341837011,0.0006799704862661811,-0.09313277398630763,0.02549059522184455,575
rail_investment_pct_gdp,price_level_index,level,-0.13838562586582234,0.0004724961337842384,-0.15261483039475848,0.00011303286642267518,633
rail_investment_pct_gdp,internet_users_pct,level,-0.13278664419767366,0.000726914668097671,-0.37224779161356764,4.492997534716037e-23,643
rail_investment_pct_gdp,gdp_per_capita_pps,level,-0.13225830174988393,0.0009695155980830083,-0.30911909314103686,2.279507438007387e-15,618
rail_investment_pct_gdp,gov_expenditure_pct_gdp,level,-0.1245911086073956,0.0027413055028234017,0.007277575197016501,0.8618203861594504,575
rail_investment_pct_gdp,passenger_modal_split_rail_pct,delta,-0.12129881762563398,0.0029689244689624686,-0.08880752407374636,0.029995908158294088,597
rail_investment_pct_gdp,life_satisfaction_high_pct,level,0.11647120243793295,0.1756093272531564,0.12237008072763883,0.15454175524662028,137
rail_investment_pct_gdp,rail_employees,level,0.1156732993842514,0.03562853773388605,0.10835876613787669,0.049161255839724,330
rail_investment_pct_gdp,inflation_pct,delta,0.11549361464821867,0.0035928365099311453,-0.07831599767707628,0.048867071572833244,633
rail_investment_pct_gdp,life_satisfaction,delta,0.11524570202131981,0.3698932872594198,0.18198843349398655,0.15399659004185448,63
rail_investment_pct_gdp,life_satisfaction,level,0.11172767256965395,0.19402506653923177,0.08322715342289935,0.3342154857995988,137
rail_investment_pct_gdp,rail_seat_km,delta,-0.11111688391958856,0.1867668463137107,-0.029605339470271982,0.7260404051516138,143
rail_investment_pct_gdp,urban_population_pct,level,-0.10986614499017379,0.005119924229809386,-3.325381346338638e-05,0.9993266755266572,647
rail_investment_pct_gdp,rail_locomotives,level,0.10943896431768882,0.008194341057378648,0.2392535372412158,4.336937924514371e-09,582
rail_investment_pct_gdp,infant_mortality_rate,delta,-0.10049149631661292,0.010502657524716073,-0.14584879237429893,0.00019314970603813693,647
rail_investment_pct_gdp,gdp_per_capita_eur,level,-0.09892790947256433,0.012041942420477186,-0.24375683514821886,3.1079286710106534e-10,643
rail_investment_pct_gdp,gni_per_capita_usd,level,-0.09705677374880121,0.01407247057129139,-0.1391711924150403,0.00041135339464298343,639
rail_investment_pct_gdp,gdp_per_capita_usd,level,-0.09651516670227796,0.014013064981750529,-0.14787579201313197,0.00015658603475172947,647
rail_investment_pct_gdp,education_spend_pct_gdp,level,-0.09191047585906668,0.039107187551424616,-0.0003590111510402837,0.9935884621965668,504
rail_investment_pct_gdp,gov_debt_pct_gdp,level,-0.08853741867735723,0.03237873934088426,-0.1311556974400804,0.0014743482319515703,584
rail_investment_pct_gdp,fertility_rate,level,-0.08586642160135738,0.028931053963303532,-0.2787657265401795,3.687073645631754e-13,647
rail_investment_pct_gdp,exports_pct_gdp,level,-0.08209669359043727,0.036790608588891174,0.062004445493610866,0.11513702942237884,647
rail_investment_pct_gdp,material_deprivation_pct,level,0.07818834005373083,0.15096042483153804,0.04006111926400125,0.4625065857529536,339
rail_investment_pct_gdp,health_spend_pct_gdp,level,-0.07103074256308005,0.10672390005568153,-0.11569469248351563,0.008419230622162936,517
rail_investment_pct_gdp,material_deprivation_pct,delta,0.07101468458810219,0.2046164145442129,0.02844064560788712,0.6119400072636113,321
rail_investment_pct_gdp,arope_rate_pct,delta,0.06827741931919735,0.2226703614566812,-0.006235392690110919,0.9114621755365903,321
rail_investment_pct_gdp,imports_pct_gdp,level,-0.06154078851534102,0.1178865833900163,0.029554797312891134,0.4531130828662782,647
rail_investment_pct_gdp,rail_locomotives,delta,-0.059458278218268816,0.16193208250423674,-0.11408896110189316,0.00709812304123343,555
rail_investment_pct_gdp,co2_per_capita,level,-0.05928066029658975,0.13882230528248837,0.21045382713046284,9.912549536081915e-08,625
rail_investment_pct_gdp,rail_wagons,delta,-0.05812638792321315,0.1909743349837109,-0.14742382857581907,0.0008460957343394179,508
rail_investment_pct_gdp,rail_freight_tonne_km,delta,-0.05694510972108834,0.17966723991852016,0.007164331778206372,0.8660867159062361,557
rail_investment_pct_gdp,urban_population_pct,delta,-0.05451837094522721,0.16608478140703617,-0.2545012880844783,4.0117462264700925e-11,647
rail_investment_pct_gdp,death_rate,level,0.05381966292956496,0.16960793130116095,0.201659531692386,1.860371205273459e-07,653
rail_investment_pct_gdp,population_density,delta,-0.05291091012536646,0.19050171953248232,-0.17500482459175987,1.237731398347405e-05,614
rail_investment_pct_gdp,population_total,delta,-0.04855372599328772,0.21469420664686167,-0.1358253154132194,0.0004834363302733071,655
rail_investment_pct_gdp,freight_modal_split_rail_pct,delta,0.04768080684722172,0.35934523941216123,0.01573853733627063,0.7623834401856425,372
rail_investment_pct_gdp,gdp_current_usd,level,-0.04739328486229377,0.22874095921300056,-0.0844239790714547,0.03174933789976999,647
rail_investment_pct_gdp,gdp_current_meur,level,-0.04664613456301278,0.23221207605491154,-0.11077821378530772,0.004415737234375874,658
rail_investment_pct_gdp,gva_total_meur,level,-0.046498372770338615,0.23369672141852235,-0.10930072877812352,0.004976513230487893,658
rail_investment_pct_gdp,arope_rate_pct,level,0.04643553779753357,0.39433063166200427,-0.06675933952776984,0.2203711717916689,339
rail_investment_pct_gdp,rail_track_length_km,level,0.04628206178560742,0.25738543384475654,0.09536663956663456,0.019324655755251025,601
rail_investment_pct_gdp,compensation_employees_meur,level,-0.045217608184820374,0.24793180789921576,-0.10915798895492061,0.00513529401176922,655
rail_investment_pct_gdp,rail_gross_tonne_km,delta,-0.0447331630237112,0.3532903054784408,0.02711179145995906,0.5738844697910168,433
rail_investment_pct_gdp,rail_accidents,delta,-0.043223273755567025,0.413820503226433,-0.02480254488330418,0.6392652020620913,360
rail_investment_pct_gdp,gov_expenditure_pct_gdp,delta,0.04222540974846927,0.3208743342483301,-0.009447057816620651,0.8243433047003638,555
rail_investment_pct_gdp,gdp_pps,level,-0.040987536383494165,0.308747275330991,-0.17472726470121622,1.1782454358463583e-05,619
rail_investment_pct_gdp,gov_revenue_pct_gdp,delta,0.03924256680096827,0.35628593286516314,-0.015765110355606873,0.7110644208076643,555
rail_investment_pct_gdp,birth_rate,delta,0.039086973118959575,0.31800455373953357,0.11754217486130943,0.002567301042745858,655
rail_investment_pct_gdp,co2_per_capita,delta,-0.03759198791608093,0.3482529042337786,0.007217199149144407,0.8571529205314342,625
rail_investment_pct_gdp,homicide_rate,delta,-0.037423940347182306,0.37603021403402515,-0.005144567688862105,0.9031880796055902,562
rail_investment_pct_gdp,compensation_employees_meur,delta,-0.037330079955309035,0.3489288996823201,-0.07405805916583603,0.06277616528564818,632
rail_investment_pct_gdp,unemployment_rate_pct,level,-0.03647859531106111,0.39596635849549683,0.05860264561697152,0.17237051340524623,544
rail_investment_pct_gdp,electricity_access_pct,delta,0.03470214877360658,0.3908225272600724,-0.016851304103757247,0.6769878729293004,614
rail_investment_pct_gdp,gdp_per_capita_eur,delta,-0.03377436998001878,0.40018268066397783,-0.04257730911219764,0.2887772668186021,623
rail_investment_pct_gdp,price_level_index,delta,-0.03349211576736546,0.4087212397628581,0.042018517184095494,0.2998810341749909,611
rail_investment_pct_gdp,exports_pct_gdp,delta,0.03249676141895004,0.41084937127958104,0.07942296133729425,0.044062000211439696,643
rail_investment_pct_gdp,education_spend_pct_gdp,delta,-0.03139618082368944,0.4968676390180369,-0.001831552921785847,0.9683940156528457,471
rail_investment_pct_gdp,pop_growth_rate,level,-0.030907303842769223,0.42879132264930764,-0.11322382226072862,0.003611832211563762,658
rail_investment_pct_gdp,gdp_per_capita_pps,delta,-0.030810635279744064,0.4529382421766974,-0.01950509602862662,0.6347581948437195,596
rail_investment_pct_gdp,rail_network_length_km,level,0.029836826575026024,0.4449627985389081,0.12283352093351223,0.0015796977189045467,658
rail_investment_pct_gdp,gdp_current_meur,delta,-0.02963518192801198,0.4554177411812961,-0.026073245593583892,0.5114018894586908,637
rail_investment_pct_gdp,gva_total_meur,delta,-0.02939734678218922,0.45904541816793115,-0.024908022141847026,0.5304640970748036,637
rail_investment_pct_gdp,rail_high_speed_pkm,delta,0.028164562838022485,0.7149986713189829,0.016724457826854375,0.8283689165459271,171
rail_investment_pct_gdp,rail_vehicle_km,level,-0.027012976988016472,0.6546922967409277,-0.03919477104400576,0.5162598850461557,277
rail_investment_pct_gdp,gov_deficit_pct_gdp,delta,-0.025641635095346112,0.5624565168217448,-0.025449335030753476,0.5653920518766262,513
rail_investment_pct_gdp,gov_deficit_pct_gdp,level,-0.025332510579832018,0.5600465091954672,-0.24798987849154516,5.704218181435885e-09,532
rail_investment_pct_gdp,rail_fatalities,delta,0.025057655321790922,0.6161895352258293,-0.028554104413980763,0.567838748102945,403
rail_investment_pct_gdp,gdp_growth_pct,delta,0.02497355510178763,0.535949955421697,0.030420682915012535,0.4508327285150551,617
rail_investment_pct_gdp,fdi_pct_gdp,delta,0.023748525355654925,0.5472762373846207,0.0014320984226140585,0.9710542076374635,645
rail_investment_pct_gdp,imports_pct_gdp,delta,0.02279587962133436,0.5640778586063351,0.0799085668816298,0.042778729010266726,643
rail_investment_pct_gdp,gni_per_capita_usd,delta,-0.022486884782540607,0.5717970789070081,0.06662713024353768,0.09345154627121043,635
rail_investment_pct_gdp,rail_passenger_km,delta,-0.022419785084065547,0.5940325256256151,-0.05500941224688083,0.19057496560572798,568
rail_investment_pct_gdp,gov_debt_pct_gdp,delta,0.022297000164385433,0.5950813942710553,0.06344574532153292,0.12999529624348846,571
rail_investment_pct_gdp,death_rate,delta,-0.022147490494426113,0.5728390189649767,-0.051041507817218855,0.19345200101909155,651
rail_investment_pct_gdp,rail_gross_tonne_km,level,0.022026363369802255,0.638416181084256,0.1348878920222464,0.003792788511300944,458
rail_investment_pct_gdp,gdp_pps,delta,-0.020159803074467738,0.6231410028908206,-0.027410542882591225,0.5039929818927256,597
rail_investment_pct_gdp,rail_freight_tonnes,delta,0.019892186971356404,0.6740299922561784,0.01778733967573379,0.7068378963893023,450
rail_investment_pct_gdp,homicide_rate,level,0.019575139155193044,0.6399136184303704,0.017909368231629016,0.6686504098947648,574
rail_investment_pct_gdp,net_migration_rate,level,-0.018931412517790097,0.6292974841521002,0.014442301284472148,0.7126991452159427,653
rail_investment_pct_gdp,gini_coefficient,delta,-0.018098114334400894,0.6886685595016275,0.06003941114922612,0.18331097921501324,493
rail_investment_pct_gdp,suicide_rate,delta,-0.01802680485233302,0.7059403060103634,0.004952696763562292,0.9174446375015483,441
rail_investment_pct_gdp,rail_passengers,level,-0.017630428450446024,0.7372656386481509,-0.13456604032897201,0.009997447264836047,365
rail_investment_pct_gdp,gdp_per_capita_usd,delta,-0.016389285784155657,0.6779191509257534,-0.03970389358041287,0.31415817904451715,645
rail_investment_pct_gdp,rail_high_speed_pkm,level,-0.015340360450973953,0.830794066805128,0.012751272123230583,0.8590258965010986,197
rail_investment_pct_gdp,population_total,level,0.013748342787169139,0.7255311061625628,-0.009855856417538712,0.8012957981209332,655
rail_investment_pct_gdp,birth_rate,level,-0.013713694813537281,0.7257923305106986,-0.13399376263322416,0.0005659869113031684,657
rail_investment_pct_gdp,gdp_current_usd,delta,-0.013273084421561212,0.7366224562174828,-0.045710592074545225,0.24645218307663183,645
rail_investment_pct_gdp,rail_vehicle_km,delta,-0.01325409878145503,0.830758834115381,0.0044298057343776275,0.9430563788849199,263
rail_investment_pct_gdp,life_expectancy_years,delta,0.012155438714504963,0.7577128198537784,0.05223071316970969,0.18461648002384715,647
rail_investment_pct_gdp,rail_electrified_km,delta,-0.0114533598852225,0.769587555960239,0.08934806410275425,0.02196078431398802,657
rail_investment_pct_gdp,gini_coefficient,level,-0.011339368437700066,0.7930966421258625,-0.10197890480139614,0.017932585489101368,538
rail_investment_pct_gdp,fertility_rate,delta,0.011144231086762012,0.7773143705777894,0.07414025459214714,0.059439627930188615,647
rail_investment_pct_gdp,fdi_pct_gdp,level,0.010310866680064252,0.7935760748632779,0.07285214072086124,0.06401702263039032,647
rail_investment_pct_gdp,rail_train_km,level,-0.010298431241376357,0.8419222385519209,0.07398525579606621,0.15118992594050637,378
rail_investment_pct_gdp,rail_freight_tonne_km,level,0.009810076334351738,0.8135430172653271,0.18238485336584398,9.231079465836664e-06,581
rail_investment_pct_gdp,internet_users_pct,delta,-0.009044621985164604,0.819426890070295,0.11132370826414109,0.0047817938468146,640
rail_investment_pct_gdp,net_earnings_eur,level,-0.009037353404720342,0.8449912288874833,-0.2533594424390146,2.1065536544208798e-08,471
rail_investment_pct_gdp,rail_track_length_km,delta,0.0089223063645897,0.829137780388324,-0.05395262826519253,0.19148170413900215,588
rail_investment_pct_gdp,rail_fatalities,level,0.008842033360974626,0.8567097081492013,0.1720603390617257,0.000386882768619383,420
rail_investment_pct_gdp,ppp_factor,delta,-0.008194027886613928,0.8398776021458624,0.12714618792068189,0.001620524190294386,611
rail_investment_pct_gdp,rail_accidents,level,0.007997224933541472,0.8737121351539054,0.2643097915639639,7.416514642528156e-08,398
rail_investment_pct_gdp,population_density,level,-0.00683590175236664,0.8657073632144865,0.032647787037822076,0.41912006485685255,615
rail_investment_pct_gdp,cars_per_1000_inhabitants,delta,-0.005700559501885136,0.8854192420661242,0.004250194978924153,0.9144407276796438,642
rail_investment_pct_gdp,rail_seat_km,level,0.005661996608478438,0.9445307238494957,0.21502299694893795,0.0072717410208200835,154
rail_investment_pct_gdp,ppp_factor,level,0.005584580153412449,0.8885230618923402,0.06152879840419862,0.12202877696095145,633
rail_investment_pct_gdp,net_earnings_eur,delta,0.005447526587762133,0.9083065830557275,-0.014544104051705684,0.7584486835109369,450
rail_investment_pct_gdp,net_migration_rate,delta,-0.004804203566527667,0.9026646013362949,-0.06729389646673437,0.08623238883594334,651
rail_investment_pct_gdp,health_spend_pct_gdp,delta,0.004579576013844895,0.9189258434950435,0.02653424108647069,0.5552634276693632,497
rail_investment_pct_gdp,rail_passengers,delta,-0.0032988252247877704,0.9518540749482935,-0.08687092820055117,0.11093224211460338,338
rail_investment_pct_gdp,rail_freight_tonnes,level,0.0031365774119962017,0.9459012466985994,0.09950184376705383,0.03079587258905694,471
rail_investment_pct_gdp,pop_growth_rate,delta,-0.0030685647250648838,0.9374033455795273,-0.02695674415620631,0.4901499998484158,658
rail_investment_pct_gdp,rail_electrified_km,level,-0.002898516613691254,0.9408656876088684,0.11769605300895059,0.0024763475446683858,658
rail_investment_pct_gdp,unemployment_rate_pct,delta,0.0027162462066012863,0.9504684548718199,0.09573888455175818,0.028077803070853426,526
rail_investment_pct_gdp,suicide_rate,level,0.002389335364194664,0.9592186580158644,0.34691162611313353,9.512456194369631e-15,461
rail_investment_pct_gdp,gdp_growth_pct,level,0.00218985235437934,0.955992967471472,0.059196295167547,0.13532054899371931,638
rail_investment_pct_gdp,rail_employees,delta,-0.0014287334288816762,0.979737715139082,-0.10225871295579539,0.06812685701119411,319
rail_investment_pct_gdp,rail_train_km,delta,0.0011936739412825067,0.9820819351809907,0.033497003293657776,0.5283817379681458,357
rail_investment_pct_gdp,freight_modal_split_rail_pct,level,0.0010370113846155246,0.9837660524402522,0.23506447450061344,2.5992981842625315e-06,388
rail_investment_pct_gdp,rail_network_length_km,delta,0.0007237061200321035,0.9852338776049202,-0.0053541000001715655,0.8910908870202175,657
rail_investment_pct_gdp,rail_passenger_km,level,0.00027161334146190663,0.9947404853065505,0.1262712642299,0.0020633232736697836,592
rail_investment_per_capita,life_satisfaction,level,0.4655798183742402,4.608176592296557e-09,0.43035066108167735,8.86783222770304e-08,138
rail_investment_per_capita,life_satisfaction_high_pct,level,0.4618357055871687,6.424412780389729e-09,0.413647062243484,3.181339275302158e-07,138
rail_investment_per_capita,inflation_pct,level,0.28094786981206177,4.4594093621798663e-13,0.1340417870216885,0.000719327646294665,632
rail_investment_per_capita,passenger_modal_split_rail_pct,level,0.20894267707580153,1.6647717301649076e-07,0.2666500293651324,1.5478599762771894e-11,612
rail_investment_per_capita,rail_wagons,level,0.2006839233789249,3.980098706563553e-06,0.12254327540030399,0.005233776560876605,517
rail_investment_per_capita,life_satisfaction,delta,-0.19806679133934454,0.12000148546908466,-0.04797736510681133,0.7099549377500186,63
rail_investment_per_capita,infant_mortality_rate,level,0.19187369818425118,1.3403600984922246e-06,-0.08742884199967221,0.02920027543630601,622
rail_investment_per_capita,electricity_access_pct,level,-0.18370822102022455,6.150725059715842e-06,0.07109247184874615,0.0831530049181527,595
rail_investment_per_capita,poverty_risk_rate_pct,level,0.17567854705135005,0.09971156005501132,0.03103115451907138,0.7734512199673149,89
rail_investment_per_capita,cars_per_1000_inhabitants,level,-0.15948789052838044,5.044103957183177e-05,-0.007561982802846465,0.8488706467272565,638
rail_investment_per_capita,life_expectancy_years,level,-0.15245412577375905,0.00013193551839175022,-0.05804165269625189,0.14826573993817163,622
rail_investment_per_capita,poverty_risk_rate_pct,delta,-0.1428968164908644,0.2534439222509743,-0.15921552386485602,0.20245870669051494,66
rail_investment_per_capita,price_level_index,level,-0.13300378043292538,0.0006468840585075123,0.03523516061540139,0.3688146635033592,653
rail_investment_per_capita,internet_users_pct,level,-0.13110008424206007,0.0010554615011377226,-0.20091105012655286,4.206889680492572e-07,620
rail_investment_per_capita,gdp_per_capita_pps,level,-0.12894181967266957,0.0013258698614677601,-0.03578763816570269,0.37538108702365836,616
rail_investment_per_capita,rail_employees,level,0.128312603294035,0.020796874002670412,0.07880257298224332,0.15712785262102705,324
rail_investment_per_capita,gov_revenue_pct_gdp,level,-0.12612788418101994,0.002510539579401515,0.08427105455569345,0.04409509673619914,571
rail_investment_per_capita,rail_seat_km,delta,-0.11870699796385596,0.17059314804922596,-0.020768380894777925,0.8113809880233273,135
rail_investment_per_capita,urban_population_pct,level,-0.11688388308438694,0.0034847346384197946,0.04330292435657708,0.2810166245477704,622
rail_investment_per_capita,rail_locomotives,level,0.11039453478326273,0.009080404403157584,0.18648445441422515,8.941983826934907e-06,557
rail_investment_per_capita,gov_expenditure_pct_gdp,level,-0.10476481655420926,0.012209554345990359,0.11802423504917953,0.004713133440441795,571
rail_investment_per_capita,fertility_rate,level,-0.1022286173597976,0.010700371707441552,-0.23527340945879668,2.4422338674560158e-09,622
rail_investment_per_capita,gni_per_capita_usd,level,-0.10206710243842369,0.011349386019924766,-0.019555819741113735,0.6287759077583163,614
rail_investment_per_capita,gdp_per_capita_eur,level,-0.10191925082143004,0.010438734320833878,0.030127369503219956,0.4504789785856145,630
rail_investment_per_capita,gdp_per_capita_usd,level,-0.10070274030748355,0.011937847177064087,0.0006436105396876021,0.9872241432368805,622
rail_investment_per_capita,passenger_modal_split_rail_pct,delta,-0.09241563109713223,0.02285453697473463,-0.012028280240184212,0.7677025428704369,606
rail_investment_per_capita,education_spend_pct_gdp,level,-0.090223576691004,0.04746922279271828,0.12688655268201057,0.00518980926178218,483
rail_investment_per_capita,inflation_pct,delta,0.08424900336726668,0.035486072683186265,-0.021148093632668483,0.5984284610847141,623
rail_investment_per_capita,infant_mortality_rate,delta,-0.07979899150810589,0.046634332468246796,0.022018122567519647,0.5837653287740405,622
rail_investment_per_capita,material_deprivation_pct,level,0.07726022662274339,0.15164741416896044,-0.25469580191472047,1.4127753801568886e-06,346
rail_investment_per_capita,health_spend_pct_gdp,level,-0.0736841406392345,0.09814437426875645,0.12039916846699579,0.006713414554660654,505
rail_investment_per_capita,rail_wagons,delta,-0.07161651619294472,0.11487975495046868,-0.1303683374275274,0.003957389962542046,486
rail_investment_per_capita,material_deprivation_pct,delta,0.07151182007103556,0.19587713642088705,0.13000104164321682,0.018245960156799357,329
rail_investment_per_capita,arope_rate_pct,delta,0.06869417009280478,0.21413989967259386,0.10114885538847868,0.06686848354454446,329
rail_investment_per_capita,population_density,delta,-0.06515764043124196,0.11267996811356429,-0.05964645093492836,0.14656895659678099,594
rail_investment_per_capita,pop_growth_rate,level,-0.06424841483096425,0.10094716136207935,0.008056293754147896,0.8372592772091706,653
rail_investment_per_capita,exports_pct_gdp,level,-0.0639493993009477,0.1111115736667072,0.07589651750621662,0.05850141995358062,622
rail_investment_per_capita,gov_debt_pct_gdp,level,-0.06236415202828996,0.1380767644207174,-0.05121799818027344,0.2234424194156016,567
rail_investment_per_capita,death_rate,level,0.06127623408866797,0.11862066115490061,0.0631752818168023,0.10759847205873597,650
rail_investment_per_capita,co2_per_capita,level,-0.0597233141311299,0.14268109770296225,0.21860587802390263,5.1199748434063424e-08,604
rail_investment_per_capita,ppp_factor,level,0.05797307899623873,0.13895640197517892,0.21129264936917908,4.5178907179370804e-08,653
rail_investment_per_capita,rail_gross_tonne_km,delta,-0.05716004330850004,0.24091187863443217,0.004440848804092184,0.9274839170305231,423
rail_investment_per_capita,population_total,delta,-0.05625013085287965,0.15111107295917486,-0.0636001117479549,0.10444355101175079,653
